03.06.2019;Acquisition;Mobile, PC, Publishers & Developers;;Kixeye;$90.0M
31.05.2019;Seed;Esports, Analytics;;Statespace;$2.50M
29.05.2019;Seed;Esports;;MCES;$2.00M
28.05.2019;Seed;Esports;;MateCrate;$1.57M
22.05.2019;Post ipo_equity;Publishers & Developers;;Animoca Brands;$2.50M
20.05.2019;Series a;AR/VR;;Tyffon;$7.80M
20.05.2019;Acquisition;Esports;;Fandroid Entertainment;$24.6M
08.05.2019;Corporate;Mobile, Publishers & Developers;;Luau Games;$3.80M
02.05.2019;Seed;Mobile;;GameClub;$2.50M
01.05.2019;Venture;Esports;;Immortals Gaming Club;$30.0M
30.04.2019;Venture;Peripherals, Esports;;Fnatic;$19.0M
26.04.2019;Corporate;AR/VR, Mobile;;Magic Leap;$280M
23.04.2019;Acquisition;Publishers & Developers, Mobile;;Wizcorp;$1.10M
23.04.2019;Seed;Gamestech;;GoMeta;$6.00M
18.04.2019;Venture;Esports;;aXiomatic Gaming;$21.5M
17.04.2019;Venture;Esports;;Gen.G Esports;$46.0M
15.04.2019;Seed;Mobile, Gamestech;;Game of Whales;$2.00M
15.04.2019;Acquisition;Streaming;;Magisto;$200M
15.04.2019;Corporate;Console, Mobile, PC;;Apple Arcade;$500M
12.04.2019;Acquisition;Publishers & Developers, Mobile;;Skytree;$850K
30.03.2019;Venture;PC, Publishers & Developers;;Cloud Imperium Games;$17.3M
28.03.2019;Seed;Gamestech;;Play Ventures;$3.00M
27.03.2019;Seed;Social & Communication;;Wormhole Labs;$8.00M
22.03.2019;Venture;Esports;;Aquilini GameCo;$18.7M
21.03.2019;Seed;Mobile, Publishers & Developers;;Dorian;$2.00M
21.03.2019;Series a;Publishers & Developers, AR/VR;;Warducks;$3.80M
15.03.2019;Acquisition;Peripherals;;Roccat;$19.2M
13.03.2019;Seed;AR/VR, Mobile;;Jump Holdings;$1.00M
11.03.2019;Venture;Publishers & Developers, Mobile;;5th Planet Games;$4.85M
07.03.2019;Venture;Cloud;;Hadean;$9.20M
06.03.2019;Seed;Mobile, Publishers & Developers;;Rogue Games;$1.25M
06.03.2019;Series c;Esports;;GamersOrigin;$3.40M
06.03.2019;Series a;Esports;;EVOS Esports;$3.80M
04.03.2019;Pre seed;Publishers & Developers, Mobile;;Reworks;$1.50M
04.03.2019;Venture;Esports;;G-Loot;$24.7M
27.02.2019;Seed;Esports;;PlayBrain;$1.90M
26.02.2019;Series c;Esports;;G2 Esports;$17.3M
26.02.2019;Ipo;Esports;;Super League Gaming;$24.9M
21.02.2019;Series b;Betting, Esports;;The Action Network;$17.5M
21.02.2019;Post ipo_equity;Publishers & Developers;;THQ Nordic;$225M
21.02.2019;Post ipo_equity;Publishers & Developers;;Sea Group;$1.35B
19.02.2019;Seed;Publishers & Developers, Mobile;;Tonk Tonk Games;$2.00M
15.02.2019;Acquisition;Console, Publishers & Developers, PC;;Warhorse Studios;$37.6M
14.02.2019;Pre seed;Analytics, Esports;;Cavea;$226K
13.02.2019;Acquisition;Publishers & Developers;;18POINT2;$2.10M
12.02.2019;Seed;Publishers & Developers, AR/VR;;Dark Slope;$1.50M
08.02.2019;Pre seed;Social & Communication;;Gamefuly;$175K
08.02.2019;Series a;Esports;;Nerd Street Gamers;$2.60M
06.02.2019;Series a;Mobile, Esports;;Flashbreak;$2.00M
06.02.2019;Series a;Publishers & Developers, Mobile;;Sviper;$2.80M
31.01.2019;Seed;Esports;;Strafe;$538K
24.01.2019;Series a;Streaming;;Streamelements;$11.3M
23.01.2019;Seed;Gamestech;;Gameye;$1.60M
23.01.2019;Seed;Gamestech;;Network Next;$4.40M
19.01.2019;Acquisition;Mobile, AR/VR;;Osmo;$120M
16.01.2019;Series a;Esports;;ReKTGlobal;$10.8M
16.01.2019;Venture;Mobile, Publishers & Developers;;Jam City;$145M
14.01.2019;Venture;Esports;;Overactive Media Group;$22.0M
10.01.2019;Grant;AR/VR, Esports;;Weavr Consortium;$5.00M
09.01.2019;Corporate;Publishers & Developers, PC, Console;;Fatshark;$56.0M
04.01.2019;Series a;Esports;;Team Envy;$20.0M
03.01.2019;Corporate;Publishers & Developers, Mobile, PC;;Second Dinner Studios;$30.0M
03.01.2019;Series c;AR/VR;;Niantic Labs;$245M
02.01.2019;Corporate;Publishers & Developers;;Double Jump.Tokyo;$1.90M
21.12.2018;Acquisition;Gamestech;;Sunny Side Up;$4.30M
21.12.2018;Series f;Social & Communication;;Discord;$150M
20.12.2018;Venture;PC, Publishers & Developers;;Cloud Imperium Games;$46.0M
20.12.2018;Merger;Esports;;Allied Esports Entertainment;$214M
20.12.2018;Acquisition;Mobile, Publishers & Developers;;Small Giant Games;$560M
19.12.2018;Series a;Gamestech, Streaming, Esports;;Popdog;$9.00M
17.12.2018;Corporate;Publishers & Developers, PC, Mobile;;Star Stable Entertainment;$11.0M
12.12.2018;Seed;Analytics, Esports;;NOVOS;$750K
11.12.2018;Acquisition;PC, Publishers & Developers, Mobile;;Playa Games;$23.5M
05.12.2018;Series a;Esports;;Matcherino;$2.70M
04.12.2018;Series a;AR/VR;;Nomadic;$10.0M
03.12.2018;Acquisition;Mobile, Publishers & Developers;;Wooga;$100M
30.11.2018;Seed;Esports;;Roundhill Financial;$350K
27.11.2018;Seed;Publishers & Developers, Console, Mobile;;Nifty Games;$3.00M
26.11.2018;Seed;Esports;;Mettlestate;$570K
25.11.2018;Venture;Esports;;Team Vitality;$22.7M
21.11.2018;Acquisition;Social & Communication, Mobile;;Spring Mobile;$700M
19.11.2018;Equity crowdfunding;Esports;;Order Esports;$360K
16.11.2018;Series a;Mobile, Console, Publishers & Developers, PC;;Mythical Games;$16.0M
15.11.2018;Seed;Streaming;;Streamloots;$560K
15.11.2018;Seed;Social & Communication, Publishers & Developers, Mobile;;Bunch Live;$3.80M
15.11.2018;Corporate;Publishers & Developers, Mobile;;Everywear Games;$5.60M
14.11.2018;Acquisition;Publishers & Developers;;Coffee Stain Studios;$34.9M
13.11.2018;Venture;Esports;;RFRSH Entertainment;$12.0M
13.11.2018;Ico;Social & Communication;;OPSkins;$41.0M
09.11.2018;Venture;Esports;;BLAST entertainment;$10.0M
09.11.2018;Series b;Esports;;PlayVS;$30.5M
08.11.2018;Seed;Publishers & Developers, AR/VR;;BigBox VR;$5.00M
