"","id","GameName","TotalUSDPrize","TotalTournaments","TotalPlayers"
"465",227,"Need for Speed: Underground",35000,1,3
"466",199,"Guilty Gear XX",0,2,5
"467",185,"Tekken 4",12500,4,4
"468",190,"Virtua Fighter 4: Evolution",0,3,6
"469",412,"Madden NFL 2004",1500,1,3
"470",223,"FIFA 03",54066.44,3,10
"471",247,"Return to Castle Wolfenstein",67424.3,3,30
"472",358,"NASCAR Thunder 2003",5933.5,1,0
"473",349,"Star Wars Jedi Knight II: Jedi Outcast",7679.25,1,0
"474",350,"NASCAR Thunder 2002",7679.25,1,0
"475",224,"FIFA 2002 World Cup",43000,1,8
"476",182,"Unreal Tournament",89000,5,14
"477",246,"Aliens versus Predator 2",40000,1,1
"478",229,"FIFA 2001",46000,2,9
"479",414,"FIFA 2000",50000,1,4
"480",365,"Descent 3",50000,1,1
