"TeamId","TeamName","TotalUSDPrize","TotalTournaments"
25081,"Death Dealers",0,NA
562,"Degasa",0,NA
747,"Edax Pro",0,NA
332,"Elements",0,NA
24910,"eRow Team",0,NA
24726,"eXo eSports",0,NA
24665,"ExoTique eSPORT",0,NA
24666,"ExoTique eSPORT",0,NA
680,"Extreme Dive Gaming",0,1
855,"FATEH",0,NA
245,"Fearless Under Fire",0,NA
161,"Fightline",0,NA
25028,"Floodebollerogkokus",0,NA
917,"Galatasaray Esports",0,NA
25061,"Good Game Gaming",0,NA
336,"Gravity",0,NA
25088,"Guild Esports",0,NA
25052,"Impave Gaming",0,NA
522,"KingSurf",0,NA
24931,"KurdGamers",0,NA
959,"LANGUDAR",0,NA
854,"Legion",0,NA
534,"Liquid Gaming",0,NA
25050,"Los Angeles Thieves",0,NA
25080,"M.K.M.A",0,NA
25029,"MASONIC",0,NA
171,"My Intent",0,NA
325,"NECKBREAK",0,NA
24721,"Nemesis Esports",0,NA
778,"NeST Gaming",0,NA
25078,"Nolex",0,NA
24686,"Oasis eSports",0,NA
24711,"ObnoxiousGaming",0,NA
25001,"Old Man Rock",0,NA
25051,"OpTic Chicago",0,NA
24937,"PNG Clan",0,NA
669,"Potassium eSports",0,NA
628,"Primal",0,NA
