"TournamentId","GameId","TournamentName","StartDate","EndDate","Location","Teamplay","TotalUSDPrize"
44431,447,"PPC Phase 2 BR","2020-08-13","2020-11-19","Brasil",1,40000
44244,447,"PPC Phase 2 EU","2020-08-13","2020-11-19","Europe",1,40000
44430,447,"PPC Phase 2 NA","2020-08-13","2020-11-19","North America",1,40000
44242,245,"ESEA NA CS:GO MDL Season 35 - Finals","2020-11-02","2020-11-18","Online",1,30000
44243,245,"ESEA ZA CS:GO Open Season 35 - Playoffs","2020-11-11","2020-11-18","Online",1,3000
44325,245,"ESL Championnat National Winter 2020 Playoffs (CS:GO)","2020-11-06","2020-11-18","Online",1,11853.01
44180,711,"Florida Mutineers Release the Kraken Invitational","2020-11-18","2020-11-18","Online",1,25000
44193,648,"IceManIsaac $5,000 Warzone 2v2 Invitational","2020-11-18","2020-11-18","Online",0,5000
44386,558,"Juice Box #20","2020-11-18","2020-11-18","Online",0,150
44194,711,"Dallas Empire Battle of the Throne","2020-11-17","2020-11-17","Online",1,25000
44239,245,"FiReLEAGUE - Cluster Centro Playoffs","2020-11-04","2020-11-17","Online",1,6000
44238,245,"FiReLEAGUE - Cluster Norte Playoffs","2020-11-04","2020-11-17","Online",1,6000
44353,547,"Titled Tuesday November 2020 #3","2020-11-17","2020-11-17","Online",0,1500
44225,655,"KWK Cup - Season 1 - Edition 4","2020-11-16","2020-11-16","Online",0,35.01
44203,711,"Minnesota RØKKR Launch Week Arms Race","2020-11-16","2020-11-16","Online",1,25000
44213,152,"Afreeca Starleague Season 10","2020-09-06","2020-11-15","Seoul, Korea",0,72080
44215,151,"DH SC2 Masters 2020 Winter: Finals","2020-11-10","2020-11-15","Online",0,57000
44288,231,"Epulze Global Dota 2 League - Season 2 NA","2020-10-12","2020-11-15","Online",1,1400
44290,231,"Epulze Global Dota 2 League - Season 2 SA","2020-10-12","2020-11-15","Online",1,1400
44264,231,"Epulze Monthly Cup November 2020 (North America)","2020-11-15","2020-11-15","Online",1,500
44237,245,"FiReLEAGUE - Cluster Sur Playoffs","2020-11-05","2020-11-15","Online",1,6000
44241,245,"Gamers Club Liga Profissional: November 2020","2020-11-05","2020-11-15","Online",1,1061.74
44240,245,"OGA Counter PIT Season 8","2020-11-09","2020-11-15","Online",1,15000
44195,711,"OpTic Chicago Cold War Launch Event","2020-11-15","2020-11-15","Online",1,25000
44411,439,"Six November 2020 Major - North America","2020-11-13","2020-11-15","Online",1,125000
44360,558,"Smash Bowl MMXXI - Stage 1 Group A3","2020-11-15","2020-11-15","Online",1,3500
44208,393,"Test Tournament Series: November (NA)","2020-11-07","2020-11-15","North America",1,15000
44234,179,"TheViper vs Hera Bo7 Showmatch","2020-11-15","2020-11-15","Online",0,1000
44245,558,"ULTIMATE 32","2020-11-14","2020-11-15","Online",0,10000
44235,245,"alpenScene Staatscup","2020-11-06","2020-11-14","Online",1,1774.94
44198,711,"Atlanta FaZe Cold War Clash","2020-11-14","2020-11-14","Online",1,25000
44266,231,"Epulze Monthly Cup November 2020 (Europe)","2020-11-14","2020-11-14","Online",1,500
44265,231,"Epulze Monthly Cup November 2020 (South America)","2020-11-14","2020-11-14","Online",1,500
44267,231,"Epulze Monthly Cup November 2020 (Southeast Asia)","2020-11-14","2020-11-14","Online",1,500
44236,245,"ESL Benelux Championship: Winter 2020 Finals (CS:GO)","2020-11-14","2020-11-14","Online",1,7706.4
44219,507,"ESL Mobile Open EU/MENA Season 2 (CoC)","2020-10-12","2020-11-14","online",1,25000
44197,534,"GlitchCon 2020 - Fortnite - Finals","2020-11-14","2020-11-14","Online",1,99001.51
44202,696,"GlitchCon 2020 Super Team Showdown - Fall Guys","2020-11-14","2020-11-14","Online",1,83273.83
44199,534,"GlitchCon 2020 Super Team Showdown - Fortnite","2020-11-14","2020-11-14","Online",1,88829.33
44200,164,"GlitchCon 2020 Super Team Showdown - League of Legends","2020-11-14","2020-11-14","Online",1,151752.55
44201,646,"GlitchCon 2020 Super Team Showdown - VALORANT","2020-11-14","2020-11-14","Online",1,151752.55
44260,231,"Movistar Liga Pro Gaming Season 6","2020-10-17","2020-11-14","Online",1,23500
44189,245,"DouyuTV CS:GO Summit","2020-11-09","2020-11-13","Online",1,4542.9
44184,702,"EGLX x Luminosity Among Us Tournament - 11/13/2020","2020-11-13","2020-11-13","Online",0,10000
43818,245,"ESEA Cash Cup - Europe: Autumn 2020 #1","2020-10-17","2020-11-13","Online",1,4000
44186,245,"ESEA Cash Cup - North America: Autumn 2020 #2","2020-10-31","2020-11-13","Online",1,4000
44192,711,"GameBattles $600 S&D Kickoff 2020-11-13","2020-11-13","2020-11-13","Online",0,600
44188,245,"King of Nordic - Season 17: Week #3","2020-11-13","2020-11-13","Online",1,591.65
44419,393,"Pigeon Classic: Wipeout","2020-11-13","2020-11-13","Online",1,500
44173,534,"BoomTV x Intel Cup - Fortnite Streamer Showdown Invitational","2020-11-11","2020-11-11","Online",1,10000
