"id","GameName","TotalUSDPrize","TotalTournaments","TotalPlayers"
169,"Quake 4",556678.51,52,100
154,"Halo 2",1489362.47,71,119
265,"Rainbow Six: Vegas",176400.77,7,137
660,"Trackmania United",1027.5,1,3
479,"Madden NFL 2008",100000,1,1
267,"Shadowrun",24000,3,0
173,"Need for Speed Carbon",36322.58,4,12
237,"Pro Evolution Soccer 6",20216.82,2,5
201,"Guilty Gear XX Slash",10250,2,6
401,"S.T.A.L.K.E.R.: Shadow of Chernobyl",4901.26,1,0
400,"Supreme Commander",4901.26,1,0
399,"Rise of Nations: Rise of Legends",69600,1,8
478,"Madden NFL 2007",100000,1,1
220,"FIFA 06",112464.53,12,23
466,"Ghost Recon Advanced Warfighter",24000,2,0
174,"Need for Speed: Most Wanted",35694.54,7,18
184,"Unreal Tournament 2004",133969.33,12,41
168,"Hyper Street Fighter II",10250,1,8
186,"Tekken 5",10250,9,10
392,"Day of Defeat",50300,3,37
238,"Gran Turismo 4",44000,2,5
236,"Pro Evolution Soccer 5",32000,1,4
477,"Madden NFL 2006",100000,1,1
221,"FIFA 05",57728.01,8,5
239,"Painkiller",1015000,13,48
193,"Dead or Alive Ultimate",30000,1,3
175,"Need for Speed: Underground 2",35629.48,3,8
235,"Pro Evolution Soccer 4",40550.64,2,11
356,"Call of Duty",50629.77,3,51
200,"Guilty Gear XX #Reload",0,1,3
188,"Tekken Tag Tournament",0,4,7
170,"Doom 3",257748.16,4,14
153,"Halo: Combat Evolved",299281,39,114
228,"Project Gotham Racing 2",35000,2,4
171,"Counter-Strike: Condition Zero",162150.6,3,111
408,"Gran Turismo 3: A-Spec",3250,2,4
222,"FIFA 04",40000,3,3
227,"Need for Speed: Underground",35000,1,3
199,"Guilty Gear XX",0,2,5
185,"Tekken 4",12500,4,4
190,"Virtua Fighter 4: Evolution",0,3,6
412,"Madden NFL 2004",1500,1,3
223,"FIFA 03",54066.44,3,10
247,"Return to Castle Wolfenstein",67424.3,3,30
358,"NASCAR Thunder 2003",5933.5,1,0
349,"Star Wars Jedi Knight II: Jedi Outcast",7679.25,1,0
350,"NASCAR Thunder 2002",7679.25,1,0
224,"FIFA 2002 World Cup",43000,1,8
182,"Unreal Tournament",89000,5,14
246,"Aliens versus Predator 2",40000,1,1
229,"FIFA 2001",46000,2,9
414,"FIFA 2000",50000,1,4
365,"Descent 3",50000,1,1
